Venue,Review ID,review,Tone,Review URL,,,Venue,Review ID,review,Tone,Review URL,,,Venue,Review ID,review,Tone,Review URL
Publons,DOM-19-1315-OP.R1,None,3,https://publons.com/wos-op/review/7597743,,,,,,,,,,,,,,
Publons,DOM-21-0017-BR.R1,"The authors have indeed confirmed the results obtained in this sub-study are exploratory at their best, thus confirming my initial concerns.",4,https://publons.com/wos-op/review/10675916,,,,,,,,,,,,,,
 ShitMyReviews,,In order to be able to publish this manuscript it need [sic] to be rewritten in the form of a scientific article,3,,,,,,,,,,,,,,,
 ShitMyReviews,,I started to review this but could not get much past the abstract,2,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R3,More details should be provided on the results presented in table 3 .,3,,,,,,,,,,,,,,,
ICLR,rkeDJ04Mf_R3,I believe this paper to be borderline .,2,,,,,,,,,,,,,,,
ICLR,HyrCWeWCb_R1,The paper leverages a novel method in determining the coefficient of relative entropy .,3,,,,,,,,,,,,,,,
ICLR,B13njo1R-_R2,"- Although the main focus of this paper is on continual learning of related tasks , the authors acknowledge this limitation and convincingly argue for the chosen task domain .",4,,,,,,,,,,,,,,,
 ShitMyReviews,,"The opinion expressed in the MS is highly biased and patriotically motivated, and is not suitable for publication in this journal.",5,,,,,,,,,,,,,,,
ICLR,B12Js_yRb_R3,I believe the overall contribution is not sufficient for ICLR .,2,,,,,,,,,,,,,,,
ICLR,B1KJJf-R-_R1,It would be good to possibly add another encoder network to see if encoding the examples as well help improve the accuracy .,3,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R1,"Many of the methods make assumptions for the theoretical analysis - in practice , some , if not most of them work well even when the assumptions do not hold .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"There is an over-reliance on sophisticated statistics at the expense of good old fashioned, scientific thought",3,,,,,,,,,,,,,,,
ICLR,HyrCWeWCb_R1,Pros : - The paper is well written and clear .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,Some papers are a pleasure to read. This is not one of them.,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"I hope you update soon, because I really wanna know what happens next, and how far you are willing to take the potential deconstruction.",4,,,,,,,,,,,,,,,
 ShitMyReviews,,"Like Dr Who's Tardis, the inside of the paper is bigger than the outside.",1,,,,,,,,,,,,,,,
 ShitMyReviews,,(although I admit that here is a possibility they might turn out to be correct in that they are guessing right),2,,,,,,,,,,,,,,,
ICLR,ryserbZR-_R2,"Results are not always too impressive , but authors seem intent on making them useful for pathogists in practice ( an intention that is always worth the effort ) .",4,,,,,,,,,,,,,,,
 ShitMyReviews,,This paper is so bad I cannot even reject it!,2,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R2,"So , if no fork module is required for a question , the model architecture is effectively same as IEP ?",3,,,,,,,,,,,,,,,
 ShitMyReviews,,The supportive tone of this review... took some effort.,2,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R1,"References : - Socher , R . , Lin , C . , Ng , A.Y . , Manning , C.D . Parsing Natural Scenes and Natural Language with Recursive Neural Networks .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,The map on the article is entirely unscientific. The data itself is also very dubious.,4,,,,,,,,,,,,,,,
ICLR,B18WgG-CZ_R2,This paper isnt especially novel .,4,,,,,,,,,,,,,,,
NIPS,403,"The current advances in neural networks have amazing experimental results but they lack good theoretical understanding. This paper is another attempt in linking some neural networks to methods of statistical physics (see e.g. also âThe Loss Surfaces of Multilayer Networksâ, Choromanska et al., AISTATS 2015).  The paper has several very interesting ideas, derivations, and insights, even though the final results are not overwhelming.",4,,,,,,,,,,,,,,,
 ShitMyReviews,,The results are new but were predictable.,3,,,,,,,,,,,,,,,
 ShitMyReviews,,The project is lack of interest.,3,,,,,,,,,,,,,,,
ICLR,B1D6ty-A-_R2,The authors seem to use the idea that solving a GLM problem is a quasi convex optimization problem .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,It is always rather pleasant to recommend that a paper be rejected.,3,,,,,,,,,,,,,,,
ICLR,B1IDRdeCW_R2,"Besides , [ a ] has also shown a carefully designed post processing binary network can already give very good performance .",3,,,,,,,,,,,,,,,
ICLR,SySpa-Z0Z_R2,"Authors claim that quote "" As for the determinant of the covariance matrix of Gaussian Process , we cannot easily evaluate or derive its gradient , so we do not include it in our computation . """,3,,,,,,,,,,,,,,,
ICLR,SySaJ0xCZ_R3,"Misc : Tables 3 and 4 would be easier to parse if resources were simply reported in terms of total GPU hours . """,4,,,,,,,,,,,,,,,
ICLR,HJLPel-CW_R3,"Style transfer has two key components , the first is how well it is transferred to the target style ; second is how well it preserves the original contents .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"This is an outline of a paper, and not a fully-thought, well-organized, thoroughly-discussed paper. Maybe because it's a graduate student conference the author decided not to put any time into writing a quality paper that would be accepted in an academic journal.",2,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R2,"Figure 1 is hard to read , I suggest the authors try to come up with a more legible plot .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,The author gives the impression of having had some mathematical training.,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"The abstract proposes the identification of requirements of a future digital infrastructure based on intelligent transportation systems (whatever this is). However, this aim is not fulfilled by the paper'",4,,,,,,,,,,,,,,,
 ShitMyReviews,,My summary assessment of the paper is as follows:Introduction: PoorBackground: PoorMethods: PoorResults: PoorDiscussion: PoorConclusions: Poor Overall assessment: PoorRecommendation: RejectFurther Comments: Why was this submitted to a journal?,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"It is difficult to see the merits of this proposal, and it is doubtful whether the author has the necessary command of primary and secondary sources to contribute anything to this area of research",4,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R2,"In Figure 4 , why are the LSTM32/128 curves different for Length 10 and Length 30 till subproblem index 10 ?",3,,,,,,,,,,,,,,,
 ShitMyReviews,,(on a computer simulation paper) 'Did you use software?',2,,,,,,,,,,,,,,,
 ShitMyReviews,,This book has more mistakes than a hound has fleas,3,,,,,,,,,,,,,,,
Publons,VMS3-2021-Jan-0035,"The manuscript is well witten, with minor grammatical mistakes which can be improved by a thorough proofreading.  
 I could not find the final version of the questionnaire survey, which if the author can add will be appreciated.  
 Overall a well planned and relevant manuscript.",4,https://publons.com/wos-op/review/11060990,,,,,,,,,,,,,,
ICLR,B1NGT8xCZ_R2,"Although the paper gives some justiification why auto encoder can work for domain adaptation from perspective of probalistics model , it does not give new formulation or algorithm to handle domain adaptation .",3,,,,,,,,,,,,,,,
Publons,DOM-21-0882-OP.R1,Thank you for your answer! I have no comments to add,5,https://publons.com/wos-op/review/12939491,,,,,,,,,,,,,,
 ShitMyReviews,,"First, unless my statistics is failing me, a less than 1.0 SD is not significant.",1,,,,,,,,,,,,,,,
Publons,JCOP-20-035.R1,"The article has social and academic relevance on a topic that has not yet been investigated in the Brazilian context. 
 This study provides data that contribute to the area in question and may contribute to future scientific interventions. 
 Thus, I believe that the changes made by the authors contributed to the theoretical and methodological improvement of the referred manuscript.",4,https://publons.com/wos-op/review/7815183,,,,,,,,,,,,,,
 ShitMyReviews,,"""I am not inclined towards suggesting acceptance, simply because I have not enough elements to do so.â€Significance: 7/10 Soundness: 8/10 Theoretical and Empirical Analysis: 8/10 Presentation: 9/10",3,,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R2,"After all , when we humans generalize to understanding relationships , exactly what variability is present in our "" training sets "" as compared to our "" testing "" situations ?",3,,,,,,,,,,,,,,,
Publons,DOM-20-0633-RA.R2,No further comments.,3,https://publons.com/wos-op/review/8723291,,,,,,,,,,,,,,
Publons,DOM-20-0001-OP.R1,"Very nice and important study. It would be interesting to see whether adding low dose of metformin to steroid inhalers as a preventive measure for insulin resistance, could alter this outcome.",4,https://publons.com/wos-op/review/7529337,,,,,,,,,,,,,,
 ShitMyReviews,,The interchangeably use of evaluate and validate is a concern because it is not clear if authors know the difference between these two 'verbs',3,,,,,,,,,,,,,,,
 ShitMyReviews,,It feels a little bit like someone wanting to run a series of statistics.,3,,,,,,,,,,,,,,,
 ShitMyReviews,,I would refrain from using enumerations in your paper and instead encourage you to think about the deep masculinism that comes with,2,,,,,,,,,,,,,,,
ICLR,B17JTOe0-_R3,Good and your research are just two complementary lines of work .,1,,,,,,,,,,,,,,,
ICLR,B1KFAGWAZ_R2,"To make the paper stronger and justify importance of the proposed architecture , I suggest authors to consider relaxing assumptions on the communication protocol to allow delayed and/or noisy communication ( including gradients ) .",4,,,,,,,,,,,,,,,
ICLR,HylgYB3pZ_R3,"When the network is trained for several iterations and becomes more settled , it is not clear how "" angle affect "" affects gradient vanishing problem .",3,,,,,,,,,,,,,,,
NIPS,478,"Interesting concept but not sure how relatively valuable the contribution is. Quality of the writing is good and creativity of the idea. No issues with novelty and clarity, and the authors have addressed data concerns with comparable experiments within the similar category. Some concerns with the data have already been outlined by the authors. It would have been nice to read further suggestions or solutions to address those concerns.",4,,,,,,,,,,,,,,,
Publons,ITEES-19-1560,"Nomenclature sections should be included. 
 3. The results should be more clarity to express what contribution in the industry sector and academic field with this research by considering all the studies. 
 4. What the significant findings/contributions are and why this paper is really important have not presented properly.",3,https://publons.com/wos-op/review/6018416,,,,,,,,,,,,,,
ICLR,ryykVe-0W_R3,"As the input/output densities are often not known and/or are intractable , natural independence measures such as mutual information are hard to estimate .",3,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R2,E.g . the addition tasks and s MNIST tasks are not as good as those reported in [ 1 ] .,3,,,,,,,,,,,,,,,
ICLR,B1i7ezW0-_R2,3 . The experimental results are not so convincing .,4,,,,,,,,,,,,,,,
ICLR,B14TlG-RW_R2,I like the idea of data augmentation with paraphrasing .,4,,,,,,,,,,,,,,,
 ShitMyReviews,,The authors should at least try to read some of the previous work in the field before attempting to solve our problems.,2,,,,,,,,,,,,,,,
ICLR,rytNfI1AZ_R2,They add a few tricks to keep the optimization numerically efficient .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"Putting it unfairly perhaps, and I am sure this is not what is meant, but one ungenerous reading of the proposal is..'",2,,,,,,,,,,,,,,,
ICLR,B14uJzW0b_R2,The aurthors doesnt seem to be relevant to the results of this paper ( because the idea proposed in this paper is rather small ) .,2,,,,,,,,,,,,,,,
Publons,ITEES-20-0375,"Please note that you should summarize the existing research gaps, and then clarify the original contributions of the present work. The contribution of the work should be stated clearly. Also please note that heuristic methods were well elaborated in the literature and providing non-heuristic methods is the main interest.",5,https://publons.com/wos-op/review/7751572,,,,,,,,,,,,,,
NIPS,603,"This paper provides theoretical analysis for effect of perturbations on network performance. In addition it also provides way of integrating these properties with network training by using them as a additional training loss. The paper is very well written, analysis are very clear and theorems are well organized and easy to read. Good job!",5,,,,,,,,,,,,,,,
 ShitMyReviews,,"This application for a postdoctoral fellowship has few strengths other than the applicant's dogged and stubborn effort to do studies he conceptualized much earlier in his career and for which he has struggled to find a home. ... His letters of recommendation contain, at best, faint praise and mainly focus on his stubborn determination to pursue his long-term goal.",2,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R1,The task isnt very challenging to learn because all the stack operations are already given .,2,,,,,,,,,,,,,,,
ICLR,SySpa-Z0Z_R1,"There are a number of typos and oversights : - Abstract : "" variation dropout "" - Section 2 : - x is never used - m in b = m + sigmaepsilon is never defined ( is it the x above ? ) - In Section 3.2 , equation 11 subscript of x i is missing - Section 6 , Ungrammatical sentence : "" Even though L 2 ..."" """,3,,,,,,,,,,,,,,,
ICLR,SySpa-Z0Z_R1,"The experiments demonstrate small but consistent gains with ANR across a number of domains ( Language modelling on small datasets , plus image classification ) and baseline models .",4,,,,,,,,,,,,,,,
ICLR,B12Js_yRb_R1,"I would recommend the authors to use something more general , like graph convolutional neural networks or graph gated neural networks.",4,,,,,,,,,,,,,,,
ICLR,B1D6ty-A-_R2,"2 . Theorem 3.4 , 3.5 establish SLQC properties with generalized RELU activations .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"This is a disaster. I could continue, but you see my point. You do seem to have a story in mind, but you do a poor job at presenting it.",1,,,,,,,,,,,,,,,
 ShitMyReviews,,"I'm disappointed to say, given the outstanding pedigree of the authors of this paper, that it adds nothing to earlier research.",4,,,,,,,,,,,,,,,
ICLR,ryzm6BATZ_R3,""" Summary : The paper extends the the recently proposed Boundary Equilibrium Generative Adversarial Networks ( BEGANs ) , with the hope of generating images which are more realistic .",3,,,,,,,,,,,,,,,
ICLR,rytstxWAW_R1,Additionally I had a brief discussion with the authors regarding some aspects of their probabilistic framework .,4,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R2,What are they ?,3,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R3,It is not clear why is machine learning needed for the RPN task ?,3,,,,,,,,,,,,,,,
 ShitMyReviews,,Please use something in parenthesis so your reader doesn't have to take a break from reviewing your work to Google it,5,,,,,,,,,,,,,,,
 ShitMyReviews,,"the correlations are not that strong (e.g., p = .022)",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"The authors are permitted to believe what they want to, but the data did not support ""important implications.â€",3,,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R3,"- t The paper describes two sets of relationships , but it soon suggests that current approaches actually struggle in Same Different relationships .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"As I understand it, you already have good evidence (you've said as much on Facebook). There's no reason to leave this as an open question when you know the answer.",2,,,,,,,,,,,,,,,
 ShitMyReviews,,"This paper is definitely not suitable to PNAS, or, for that matter to any other journal.",4,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R3,""" Recurrent orthogonal networks and long memory tasks . """,3,,,,,,,,,,,,,,,
 ShitMyReviews,,A blizzard of extraneous data external information should be culled.,2,,,,,,,,,,,,,,,
ICLR,SySpa-Z0Z_R2,Pros : - empirical improvements shown on two different classes of problems .,4,,,,,,,,,,,,,,,
ICLR,B1IDRdeCW_R3,"In general , I think the paper is written clearly and in detail .",3,,,,,,,,,,,,,,,
ICLR,rywHCPkAW_R3,"This definitely looks like a worthy direction of research , and experiments are convincing enough to show that the proposed algorithms indeed improve on their baseline version .",5,,,,,,,,,,,,,,,
 ShitMyReviews,,"Strictly speaking, the manuscript shall be rejected in its current form if submitted for a journal.",4,,,,,,,,,,,,,,,
 ShitMyReviews,,Some idea of strategies to define general populations for studies might be helpful both to the reader and to help the authors avoid their meaningless generalities.,4,,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R3,"- t The authors bring a good point on the limitations of the SVRT dataset mainly being the difficulty to compare visual relations due to the difference of image structures on the different relational tasks and the use of simple closed curves to characterize the relations , which make it difficult to quantify the effect of image variability on the task .",4,,,,,,,,,,,,,,,
 ShitMyReviews,,"[REDACTED]'s talks are popular, but then so are Ke$ha concerts.",2,,,,,,,,,,,,,,,
 ShitMyReviews,,is 'bisexuals' referring to the entire sample or those who identify solely as bisexual?,3,,,,,,,,,,,,,,,
NIPS,589,"This paper is interesting and shows some meaningful results for understanding the loss landscape of deep CNNs. However, I do not feel the contribution of a visualization technique is sufficient. Instead of applying the proposed technique to explain the well-known models (and some conclusions are also well-known in deep learning community), it will make the paper stronger if the paper can investigate some new model architectures or loss functions.",3,,,,,,,,,,,,,,,
ICLR,B1CNpYg0-_R2,None of these ideas are new before but I havent seen copying this blindly before .,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"Is 'Tartarstan' a magical land where they make all the world's tartar sauce? If not, I can only assume the author is referring to the Russian republic of Tatarstan.",2,,,,,,,,,,,,,,,
 ShitMyReviews,,It just doesn't make sense.,3,,,,,,,,,,,,,,,
ICLR,B13EC5u6W_R2,This looks very noisy and non interesting .,2,,,,,,,,,,,,,,,
 ShitMyReviews,,This inclusion criteria is not needed due to the fact to be in a master program they would be legal adults. Please remove and adjust anywhere that this shows up.,5,,,,,,,,,,,,,,,
ICLR,rywDjg-RW_R3,"Still , it would be nice to know what is going on here .",1,,,,,,,,,,,,,,,
ICLR,B1DmUzWAW_R3,I believe the paper would have been much stronger if either of the two authors were not present,1,,,,,,,,,,,,,,,
ShitMyReviews,,The scientific contribution of this paper - if there is any at all - is at best hopelessly insignificant.,2,,,,,,,,,,,,,,,
ICLR,B11bwYgfM_R3,But I believe there are important drawbacks in the framing and basic methodology and evaluation which make the paper unfit for publication in its current form .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,I am not very excited about this. There must be better ways to spend your money.,1,,,,,,,,,,,,,,,
 ShitMyReviews,,The author is tilting at windmills.,1,,,,,,,,,,,,,,,
ICLR,ryserbZR-_R3,* Would it make sense to discuss Durand 2016 in the base line methods section ?,3,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R1,"- The proof is not given , and I dont think the proposed estimator would be consistent if you use a fixed class of networks T . There is a necessarily a bias between the class of functions the network can approximate and all bounded functions .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,I don't believe in simulations,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"An exercise in feature manipulation, of the brainless kind",1,,,,,,,,,,,,,,,
 ShitMyReviews,,"I was only able to get a single reviewer and rather than make you wait longer, I decided to use the single review and my own independent reading. Unfortunately, my own reaction differed from the reviewer's reaction (scroll down below my signature). That is, the reviewer reacted positively whereas I reacted negatively and it is my reaction that counts.",1,,,,,,,,,,,,,,,
 ShitMyReviews,,"The authors have entered a controversial area. For both their sake and the reputation of the journal, they need to make sure their research will stand up under the inevitable scrutiny.",3,,,,,,,,,,,,,,,
 ShitMyReviews,,I do not trust the data or the underlying thesis.,2,,,,,,,,,,,,,,,
Publons,VMS3-2020-Feb-0047.R7,"Please, see the attached files my comments as track change.",5,https://publons.com/wos-op/review/10671792,,,,,,,,,,,,,,
 ShitMyReviews,,"The whole paper reminds me of a paper of a couple of years ago, which I didn't like.",2,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R2,"I would recommend to restructure the paper to clearly mention each of the components , describe them individually and then explain how they are combined for both cases - DDRprog and DDRstack .",2,,,,,,,,,,,,,,,
ICLR,B14TlG-RW_R2,The novelty is limited but it is a good idea to speed up the RC models .,4,,,,,,,,,,,,,,,
ICLR,B1D6ty-A-_R2,3 . Experimental results for classification are not convincing enough .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,Do we really need concepts and theories to discuss inequalities among young adults?,2,,,,,,,,,,,,,,,
ICLR,HylgYB3pZ_R3,2 . The whole standpoint of the paper is quite vague and not very convincing .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"The research team cooked up a great filet mignon. Instead of mushrooms and an exquisite French sauce, we got American ketchup.",1,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R2,"If so , at least this should be described in detail .",3,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R1,"Authors evaluate their RIN on the adding , sequential MNIST and the baby tasks and show that their IRNN outperforms the IRNN and LSTM models .",4,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R3,After a revision I would consider to increase the score .,2,,,,,,,,,,,,,,,
Publons,DOM-21-0106-OP,Good manuscript,4,https://publons.com/wos-op/review/10648510,,,,,,,,,,,,,,
 ShitMyReviews,,The authors should take the time to thoroughly refine and revise manuscripts before they are sent to innocent reviewers.,3,,,,,,,,,,,,,,,
Publons,VMS3-2021-Jul-0515.R1,"have you obtained consent, albeit verbally, from an ethics committee?  
 or specify that the study was carried out, in accordance with European law (O.J. of E.C. L. 358/1 12/18/1986), and USA laws (Animal Welfare Assurance No A5594-01, Department of Health and Human Services, USA) in accordance with the Legislative Decree n. 193 of 6th April 2006.",3,https://publons.com/wos-op/review/13226088,,,,,,,,,,,,,,
ICLR,B1KFAGWAZ_R1,"I think that the statement "" which only supports broadcast ing communication of the sum of the signals "" is not quite fair : surely they have used a 1 channel communication structure , but it would be easy to generalize that .",3,,,,,,,,,,,,,,,
ICLR,BJE-4xW0W_R1,not particularly impressive that is an issue for me .,2,,,,,,,,,,,,,,,
 ShitMyReviews,,In other words: the referee thinks this work is stuck in the past.Â The referee would rather talk about the future - some of the seniorÂ co-authors were the future once!,2,,,,,,,,,,,,,,,
ICLR,rywHCPkAW_R2,"From Fig.3 , one can see that having the same initial noise in all environments is not a good idea , so the second mechanism may help much .",4,,,,,,,,,,,,,,,
 ShitMyReviews,,The description of sampling technique is too long and boring!,1,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R2,2 . Lack of motivation for IE or UIE .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,Hypothesized' is such an ugly word,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"Not now, not ever",2,,,,,,,,,,,,,,,
ICLR,B13EC5u6W_R1,This is quite an interesting paper with a sensible goal. It seems like the method could be more informative than the other methods .,4,,,,,,,,,,,,,,,
ICLR,B1EVwkqTW_R3,the experiments are quite underwhelming and does not fully support the superiority claims of the proposed approach .,4,,,,,,,,,,,,,,,
 ShitMyReviews,,"Being the first is not the best motivation. For example, I could be the first one to jump of the SBE building with a triple back flip and no safety net. I'd be the first (I think) and it would even be quite spectacular (I'm sure), but that doesn't make it a good idea.",3,,,,,,,,,,,,,,,
ICLR,B1suU-bAW_R1,It is hard to believe that meaningful results are achieved.,3,,,,,,,,,,,,,,,
 ShitMyReviews,,This is rubbish!!!,1,,,,,,,,,,,,,,,
ICLR,HymYLebCb_R2,The experimental results supports the claim .,3,,,,,,,,,,,,,,,
ICLR,SySisz-CW_R1,"Furthermore , they are missing a reference to beta VAE ( Higgins et al , 2017 ) when discussing VAE based approaches to disentangled factor learning In summary , the paper is not ready for publication in its current form .",3,,,,,,,,,,,,,,,
ICLR,rytNfI1AZ_R2,"For example , weight pruning methods sometimes can give compression rates of around 100 while the 1bit methods by definition are limited to a compression rate of 32 .",3,,,,,,,,,,,,,,,
ICLR,B1Lc-Gb0Z_R1,It seems that Re LU and Saturated Re LU are included to show the performance of networks with full precision activation functions ( which is good ) .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,Despite promising a very general result this manuscript unfortunately does not deliver (almost) any of the things listed in the abstract.,4,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R3,The authors observe that the proposed recurrent identity network ( RIN ) is relatively robust to hyperparameter choices .,4,,,,,,,,,,,,,,,
 ShitMyReviews,,The manuscript in the present form is not a review article but is rather a number of research papers stapled together.,2,,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R2,"Taken literally , this would rule out a lot of modern machine learning , even obviously very good work .",2,,,,,,,,,,,,,,,
 ShitMyReviews,,Large parts of the manuscript read now more like a Master thesis than a scientific paper. I hope that the more experienced co-authors - if there are any - can help with this aspect of style.,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"Considering by the end of the paper I had no idea what was being said, I don't believe the paper was successful in its argument. In fact, it felt like the author was merely saying the same thing over and over again but with synonyms.",3,,,,,,,,,,,,,,,
 ShitMyReviews,,The analyses are too statistic,3,,,,,,,,,,,,,,,
ICLR,rk8wKk-R-_R3,"Nevertheless , I find it difficult to assess its significance .",2,,,,,,,,,,,,,,,
 ShitMyReviews,,"The first and last paragraphs are weak and read in a style unlike the rest of the paper, like poor advertising copy.",2,,,,,,,,,,,,,,,
ICLR,rkPLzgZAZ_R3,Reading it 5-20 more times would most likely help .,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"It is very lengthy, full of mistakes, irrelevant information, and completely fails to attract readers.",2,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R2,"Given that the performance of state on art on CLEVR dataset is already very high ( < 5 % error ) and the performance numbers of the proposed model are not very far from the previous models , it is very important to report the variance in accuracies along with the mean accuracies to determine if the performance of the proposed model is statistically significantly better than the previous models or not .",4,,,,,,,,,,,,,,,
ICLR,HyrCWeWCb_R1,- Open source codes .,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"First, the paper is for a large part incomprehensible",3,,,,,,,,,,,,,,,
