Venue,Review ID,review,Tone,Review URL,,,Venue,Review ID,review,Tone,Review URL,,,Venue,Review ID,review,Tone,Review URL
 ShitMyReviews,,"The underlying science here is quite interesting, but the presentation does its best to disguise it",3,,,,,,,,,,,,,,,
 ShitMyReviews,,Unless the authors performed some clever pagan ritual before euthanizing the animals I would use 'killed' (or 'euthanized') instead of 'sacrificed',2,,,,,,,,,,,,,,,
ICLR,B1G6uM0WG_R3,It seems that most accuracy can be expressed via masking .,4,,,,,,,,,,,,,,,
ICLR,rytstxWAW_R3,"3 . As a concrete step towards grounding the proposed method on state of the art results , I would love to see at least one experiment with the same ( original ) data splits used in previous papers .",2,,,,,,,,,,,,,,,
 ShitMyReviews,,I find the title and the main premise of the abstract confusing and illogical. [key concept X] has the logic of a Monty Python sketch,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"Unfortunately the paper itself is full of so many fundamental misunderstandings, I don't even know where to begin in criticizing it.",2,,,,,,,,,,,,,,,
ICLR,B1CQGfZ0b_R3,These are all points that require discussion which is currently missing from the paper .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,The sum total is frustration with what I can only call cavalier treatment of promising material.,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"The paper is grossly over referenced, and reads a little like a student trying to impress a supervisor that a lot has been read, rather than a mature and parsimonious use of citations. The conclusions are hardly world shattering.",2,,,,,,,,,,,,,,,
 ShitMyReviews,,"The results are obvious. In fact, so obvious that perhaps no one has bothered to write them down before.",2,,,,,,,,,,,,,,,
ICLR,HylgYB3pZ_R3,"Theorem 1,2,3 are direct conclusions from the definitions and are mis stated as Theorems .",3,,,,,,,,,,,,,,,
ICLR,B1KFAGWAZ_R2,"Second , even though the proposed architecture proved to perform empirically better that the considered baselines , the extent to which it advances RL research is unclear to me .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"I am pretty sure that there are a number of mistakes, but I gave up pointing out them all because even the author apparently doesn't consider this manuscript as a good scientific presentation.",2,,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R1,"Conclusions drawn by testing on out of sample data may not be completely valid . """,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"The enormous and overwhelming -not to say pathetic- admiration, even adoration of the author for her subject is barely acceptable anymore for a modern biography.",1,,,,,,,,,,,,,,,
 ShitMyReviews,,"There are numerous problems with this paper, starting with the title.",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"I perused this manuscript while in the hotel prior to a friend's wedding. I was suspicious that a state of relaxation had influenced my enjoyment of a paper on soil formation; so I read it again, this time squashed between two large people on the delayed flight home, and still enjoyed reading it.",5,,,,,,,,,,,,,,,
 ShitMyReviews,,The authors offer no credible theoretical reason why we should care about this result.,2,,,,,,,,,,,,,,,
ICLR,rywDjg-RW_R3,"The paper is very well written overall , but I found the introduction to be unsatisfyingly vagueit was hard for me to evaluate your key observations when I couldnt quite yet tell what the system youre proposing actually does .",4,,,,,,,,,,,,,,,
 ShitMyReviews,,"I also would add that while I don't have anything serious to complain about, I also see this work as being pretty straightforward - there is no ""big ideaâ€ that I see as especially imaginative or creative. Again, it is extremely solid, just not necessarily sexy.",2,,,,,,,,,,,,,,,
 ShitMyReviews,,"The abstract says absolutely nothing, and I mean this literally and not as a judgement for the content of the paper.",2,,,,,,,,,,,,,,,
ICLR,HytSvlWRZ_R1,This is a crucial parameters that is however not discussed nor analysed in the paper .,3,,,,,,,,,,,,,,,
ICLR,HytSvlWRZ_R3,"Layer by layer feedforward training process , no back prop .",3,,,,,,,,,,,,,,,
ICLR,rytstxWAW_R1,Some other concerns and questions : - It is not quite cleat what P is .,3,,,,,,,,,,,,,,,
Publons,DOM-20-0479-OP,"This is a very interesting article, well written, and covering the most important effect of testosterone therapy on metabolism, body composition and mortality risk. 
  
 However, considering the great change in body weight (-19.3 Â± 0.4) during the treatment it should be explained the nutritional condition or if patients followed a calorie restricted diet and made physical exercise.",4,https://publons.com/wos-op/review/7997099,,,,,,,,,,,,,,
ICLR,B12Js_yRb_R1,- The paper doesnt study a simple baseline that just does NMS on the proposal domain .,4,,,,,,,,,,,,,,,
ICLR,B1G6uM0WG_R1,"If it were , this would be a much sought breakthrough .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"Reviewer 1: Furthermore, the manuscript is very difficult to read due to English problems: combining results and discussion section making it even more confuseReviewer 2: 'The manuscript is poorly written although it can be follow with lots of typos, and a review by a native English speaker is clearly needed.",3,,,,,,,,,,,,,,,
 ShitMyReviews,,The rest of the Introduction is just as badly done as the first paragraph so I will not continue,3,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R3,"After Le et al . ( 2015 ) , the paper presents another convincing case for the application of Re LUs in RNNs .",3,,,,,,,,,,,,,,,
ICLR,B1lMMx1CW_R1,This contribution is bad for a paper .,3,,,,,,,,,,,,,,,
ICLR,rkTBjG-AZ_R1,"I recommend rejection . """,2,,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R3,"Weaknesses : - t While the proposed PSVRT dataset addresses the 2 noted problems in SVRT , using only 2 relations in the study is very limited .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,My major concern to accept this work-in-progress paper is that these findings areÂ not super interesting to readers in my opinion.,2,,,,,,,,,,,,,,,
 ShitMyReviews,,This paper does not contain information that could make a scientific proposal.,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"This lack of familiarity with the literature is admittedly a bit unnerving, but hey that's what peer-reviews are for",2,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R3,"This identity connection acts as a surrogate memory component , preserving hidden activations over time steps .",3,,,,,,,,,,,,,,,
ICLR,B1jscMbAW_R3,It would also be nice to observe failure of the author and the model .,2,,,,,,,,,,,,,,,
ICLR,B12Js_yRb_R1,"The rebuttal is convincing and I decided to increase my rating , because adding the proposed counting module achieve 5 % increase in counting accuracy .",4,,,,,,,,,,,,,,,
ICLR,ryb83alCZ_R1,My primary concern with the paper is the lack of novelty and relatively little in the way of contributions to the ICLR community .,3,,,,,,,,,,,,,,,
ICLR,B14TlG-RW_R2,"Firstly , I suggest the authors to end writing .",1,,,,,,,,,,,,,,,
 ShitMyReviews,,It reads as if the author were giving a lecture and wandered off point to tell an interesting story.,1,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R2,Weaknesses : The paper doesnt describe the model clearly .,4,,,,,,,,,,,,,,,
 ShitMyReviews,,"The paper does have some moderately interesting results. But by the time I had gone past Section 3.2, I lost interest because there was nothing that took me by surprise or wonder.",2,,,,,,,,,,,,,,,
 ShitMyReviews,,This section gives the impression that you'll throw a handful of darts at a target and see what you happen to hit.,3,,,,,,,,,,,,,,,
ICLR,B16yEqkCZ_R3,"The paper is accurate , very well written ( apart from a small number of grammatical mistakes ) and contains appealing motivations to its key contributions .",5,,,,,,,,,,,,,,,
ICLR,B12Js_yRb_R1,Contribution : - This paper proposes a new object counting module which operates on a graph of object proposals .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,Why not [do the study] in vivo instead of in vitro?,2,,,,,,,,,,,,,,,
ICLR,B1CEaMbR-_R3,"Also , it overall rather appears short .",3,,,,,,,,,,,,,,,
ICLR,B12Js_yRb_R1,Therefore I recommend reject .,2,,,,,,,,,,,,,,,
ICLR,HyrCWeWCb_R2,"The entropy regularization on action probability is to encourage the exploration of the policy , while the entropy constraint is to stabilize the gradient .",3,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R3,This representation requires the calculation of a supremum over a set of functions and a lower bound is achieved when a neural network is used for the maximisation of it .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"the conclusions of this paper are then groundless since they are based on this trivial but critical misunderstanding. Unfortunately, it has to be remarked that papers such as this, lacking any knowledge of the basic concepts of astronomy and physics, should never be published in any scientific journal with referees.",2,,,,,,,,,,,,,,,
ICLR,SySpa-Z0Z_R3,"Authors show a good gain on two language modeling tasks , CIFAR 10 , and CIFAR 100 . """,4,,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R2,"I think that the introduction of baselines benchmark challenge datasets such as the ones the authors describe here is very useful , and is a somewhat novel contribution .",3,,,,,,,,,,,,,,,
ICLR,B1KFAGWAZ_R2,"Authors experiment with the proposed architecture on a set of synthetic toy tasks and a few Starcraft combat levels , where they find their approach to perform better than baselines .",3,,,,,,,,,,,,,,,
NIPS,444,"This paper shows an optimal rate for the non-ergodic sequence governed by the Augmented Lagrangian.  This is theoretically an interesting result. The numerical illustration for the square-root LASSO looks to be good but in the square-root elastic net problem, it seems that the Chambolle-Pock decreases stably while NAPALA seems to be flatter.",4,,,,,,,,,,,,,,,
ICLR,HytSvlWRZ_R1,"The proposed algorithm is also generally compared with respect to linear methods , and the authors could have provided a more rigorous benchmark including standard non linear prediction approaches ( e.g . random forests , NN , GP , u2026 ) .",4,,,,,,,,,,,,,,,
ICLR,ryjw_eAaZ_R3,"Cons : - Poor writing , close to a first draft .",2,,,,,,,,,,,,,,,
ICLR,SySisz-CW_R1,"The authors treat the inputs ( X ) and outputs ( Y ) of each filter throughout each step of the convolving process as a time series , which allows them to do a Discrete Time Fourier Transform analysis of the resulting sequences .",4,,,,,,,,,,,,,,,
ICLR,SySpa-Z0Z_R2,"Well justified penalty , easy to connect to many generalisation bound claims .",4,,,,,,,,,,,,,,,
ICLR,B1mSWUxR-_R1,Please elaborate on how you end up in this mess.,1,,,,,,,,,,,,,,,
 ShitMyReviews,,"In summary, while I believe the work to be valid, timely, original and relevant, I am unable to see in what sense this work accords to the strict journal's criteria.",3,,,,,,,,,,,,,,,
ICLR,rytstxWAW_R3,Please add label axes to Figure 2 ; currently it is very hard to read .,5,,,,,,,,,,,,,,,
ICLR,B1CQGfZ0b_R1,"The border pixels are probably sufficient to learn the program perfectly , and in fact this may be exactly what the neural net is learning .",4,,,,,,,,,,,,,,,
 ShitMyReviews,,This is not a paper. This is part of ... something. It cannot be reviewed and should be rejected right on.,2,,,,,,,,,,,,,,,
ICLR,B1D6ty-A-_R2,"However , it is not clear to me why this result is even relevant here .",3,,,,,,,,,,,,,,,
ICLR,ryQz_ZfHz_R1,""" "" without complicated mathematical inference "" ( on end of page 10 ) Heaven forbid we should expect our graduate students to know a bit of statistics !",1,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R1,This suggest that GNN are bias toward an identity mapping and learn to preserve the activation through time .,3,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R1,So whatever network that outputs the stack operation cannot be jointly learned with gradients .,3,,,,,,,,,,,,,,,
Publons,DOM-21-0297-OP.R1,"Although the follow-up period of this study is short, I think this pilot study will contribute to the literature.",4,https://publons.com/wos-op/review/11351900,,,,,,,,,,,,,,
Publons,VMS3-2020-Sep-0433,Reviewer Comments attached,3,https://publons.com/wos-op/review/9583375,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R2,"The authors state that "". . . the effectiveness of an architecture to learn visual relation problems should be measured in terms of generalization over multiple variants of the same problem , not over multiple splits of the same dataset . """,3,,,,,,,,,,,,,,,
Publons,DOM-21-0793-OP.R1,I have no further comments to make on this excellent paper.,4,https://publons.com/wos-op/review/12980764,,,,,,,,,,,,,,
ICLR,HyrCWeWCb_R2,"Moreover , the curves of TRPO is so unstable , which is a bit uncommon .",3,,,,,,,,,,,,,,,
ICLR,B1Gi6LeRZ_R1,"The approach presented is simple , clearly presented , and looks effective on benchmarks.",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"I am concerned that the survey data for this report were collected in 2005, 15 years ago.",4,,,,,,,,,,,,,,,
ICLR,SySisz-CW_R1,"All figures ( but in particular Figure 3 ) need more informative captions -- The authors talk a lot about disentangling in the introduction , but this does not seem to be followed up in the rest of the text .",4,,,,,,,,,,,,,,,
ICLR,HyrCWeWCb_R1,Significance - Trust PCL achieves overall competitive with state of the art external implementations .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,This is from a methods perspective rather unacceptable in these days of 'voodoo' science.,2,,,,,,,,,,,,,,,
ICLR,HytSvlWRZ_R1,"Moreover , the proposed experimental paradigm appears flawed .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,This is not a paper. This is part of … something. It cannot be reviewed and should be rejected right on.,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"The team has generated the kind of gaudy, brobdignagian dataset that makes it such a curious and exciting time",2,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R1,The 28th International Conference on Machine Learning ( ICML 2011 ) .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"How does [redacted theory] explain your results? Or really, your underwhelming results?",2,,,,,,,,,,,,,,,
ICLR,ryzm6BATZ_R1,"Pros : * Interesting energy formulation and variation over BEGAN Cons : * Not a clear paper * results are only partially motivated and analyzed """,3,,,,,,,,,,,,,,,
 ShitMyReviews,,It is not hard to develop this method…I could write code for this on a rainy afternoon.,2,,,,,,,,,,,,,,,
 ShitMyReviews,,Please correct the language and connet of teh COI part!,5,,,,,,,,,,,,,,,
 ShitMyReviews,,In the experimental part there is a lack of scientific by taking over results from reference literature.,3,,,,,,,,,,,,,,,
ICLR,rkWN3g-AZ_R1,"In addition , the combination is done in a careless manner .",3,,,,,,,,,,,,,,,
ICLR,B1e5ef-C-_R3,RIP required to all .,1,,,,,,,,,,,,,,,
ICLR,B1EVwkqTW_R2,Some of the results are better than your approach. Models outperformed authors.,1,,,,,,,,,,,,,,,
 ShitMyReviews,,"It is at best of little value and, in the worst case, irrelevant
 
 
 and offensive",2,,,,,,,,,,,,,,,
ICLR,rytstxWAW_R1,I think that batch training of GCN is an important problem and authors have proposed an interesting solution to this problem .,4,,,,,,,,,,,,,,,
ICLR,rk1FQA0pW_R1,"Cons The contributions seem incremental , not properly enunciated , or appropriately validated .",4,,,,,,,,,,,,,,,
ICLR,B1Lc-Gb0Z_R3,"There are many flaws and weaknesses in the paper though , making it somewhat lose .",2,,,,,,,,,,,,,,,
 ShitMyReviews,,The paper raises the suspicion that the author has not been trained as a historian,3,,,,,,,,,,,,,,,
 ShitMyReviews,,claiming 'insights' that rarely amount to very much beyond the bleeding obvious. [..] the problem with jargon is that 'any idiot can pick it up and have a go,1,,,,,,,,,,,,,,,
Publons,DOM-20-1268-RA.R1,"Many thanks dear authors for this interesting manuscript, and for changes that you made upon the revision.",5,https://publons.com/wos-op/review/10350955,,,,,,,,,,,,,,
 ShitMyReviews,,I now have had a chance to look at this paper. I think it is a bit of a joke.,1,,,,,,,,,,,,,,,
 ShitMyReviews,,Use of words like 'performativity' (is that a word?),3,,,,,,,,,,,,,,,
ICLR,ryykVe-0W_R1,"The revision seems more cosmetic and does not address the most significant issues so I do not see a need to change my evaluation . """,3,,,,,,,,,,,,,,,
ICLR,B14uJzW0b_R1,"To the best of my understanding , the paper has some misconceptions .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,"Sorry for our long silence, due to some perplexity on our side at reading your manuscript.",5,,,,,,,,,,,,,,,
 ShitMyReviews,,This manuscript is not publishable in a reasonable sense,3,,,,,,,,,,,,,,,
ICLR,B1EVwkqTW_R1,The writing also needs to be improved .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"There is no research methodology, no data, no model, no significant analysis and no conclusions which arise from the study'",2,,,,,,,,,,,,,,,
 ShitMyReviews,,Was this an undergraduate class assignment?,1,,,,,,,,,,,,,,,
ICLR,HyrCWeWCb_R3,I am a bit confused about the way trust region method is used in the paper .,2,,,,,,,,,,,,,,,
ICLR,B12Js_yRb_R3,"this method is built on a series of heuristics without sound theoretically justification , and these heuristics cannot be easily adapted to other machine learning applications .",3,,,,,,,,,,,,,,,
ICLR,rytstxWAW_R3,""" The paper focuses on the recently graph convolutional network ( GCN ) framework .",3,,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R1,Cons Straightforward testing of network performance on specific visual relation tasks .,3,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R3,""" This paper presents a new method for estimation of mutual information ( MI ) based on the Donsker Varhan ( DV ) representation of KL divergence .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,The study is poorly conceived and inadequately conducted and the conclusions made by the authors do not necessarily follow from the results,4,,,,,,,,,,,,,,,
ICLR,ryserbZR-_R1,Automated gastric cancer diagnosis on H&E stained sections ; training a classifier on a large scale with multiple instance machine learning .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,Something is missing.,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"In addition, I would suggest either activating the spellchecker on Word, or keeping the cat from walking on your keyboard.Â I think one of your words was previously employed as a Thunder in ""Finnegan's Wake",1,,,,,,,,,,,,,,,
ICLR,B12Js_yRb_R2,Strengths - The proposed model begins with reasonable motivation and shows its effectiveness in experiments clearly .,5,,,,,,,,,,,,,,,
ICLR,B12Js_yRb_R1,"- Since the authors have mentioned in the related work , it would also be more convincing if they show experimental results on CL Conclusion : - I feel that the motivation is good , but the proposed model is too hand crafted .",4,,,,,,,,,,,,,,,
 ShitMyReviews,,It is not hard to develop this method...I could write code for this on a rainy afternoon.,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"I had no idea what this concept was until reading your paper, but your abstract wouldn't have made me want to read it had I not been a reviewer",2,,,,,,,,,,,,,,,
Publons,ACP-2021-9818,"Dear authors. 
  
 Thank you for addressing my points. 
 I have no further comments. 
  
 Kind regards",5,https://publons.com/wos-op/review/11240249,,,,,,,,,,,,,,
ICLR,ryykVe-0W_R1,"There are fewer relevant comparisons here , but at least Lappalainen and Honkela ( 2000 ) seem to target the same problem as the proposed method .",4,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R2,"I dont think that such a consistency proof is strictly necessary for a paper like this , but for the review to be accurate I need to see the proof .",2,,,,,,,,,,,,,,,
 ShitMyReviews,,This needs some rephrasingâ€”it's loaded with the assumption that there is a real world,3,,,,,,,,,,,,,,,
Publons,ITEES-19-1107.R1,"In the new version presented by the authors, the paper conforms to the standards in structure and in nomenclature. However, this reviewer noted that there are still some paragraphs using the word substation to transformer (see, for example, Figure 1). However, for this reviewer the paper is now complete.",3,https://publons.com/wos-op/review/5698628,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R3,""" Strengths : - t There is an interesting analysis on how CNNs perform better Spatial Relation problems in contrast to Same Different problems , and how Spatial Relation problems are less sensitive to hyper parameters .",4,,,,,,,,,,,,,,,
NIPS,875,This paper builds on the probabilistic interpretation of MAML (e.g. Grant et al.) The proposed inference procedure allows for meta-learning for few-shot learning problems in which the small amount of data makes the given task ambiguous.  The paperâs writing is clear. The theory is relevant to extending MAML to a distribution over parameters. Experiments highlight the advantages (dealing with ambiguity in tasks) of the proposed method.,3,,,,,,,,,,,,,,,
ICLR,B17JTOe0-_R3,"The manuscript is not written in a way that is suitable for the target ICLR audience which will include , for the most part , readers that are not expert on the entorhinal cortex and/or spatial navigation .",3,,,,,,,,,,,,,,,
ICLR,B1J_rgWRW_R3,A key limitation of the paper in my opinion is that typically DNNs do not contain a linear final layer .,3,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R1,Authors observe that the average estimation error between a given hidden state and the last hidden state gradually decreases toward zeros .,4,,,,,,,,,,,,,,,
ICLR,B18WgG-CZ_R1,It doesnt make much sense to me to omit pairs with OOVs .,2,,,,,,,,,,,,,,,
Publons,MEE-20-11-869,"Please, consider carefully my comments in the attached file.",5,https://publons.com/wos-op/review/9912611,,,,,,,,,,,,,,
 ShitMyReviews,,"It was hard to bite myself through, but in the back I found some meat.",1,,,,,,,,,,,,,,,
Publons,VMS3-2021-Aug-0563.R1,Thanks for your rivision response.paper accepted,5,https://publons.com/wos-op/review/12913498,,,,,,,,,,,,,,
ICLR,SySpa-Z0Z_R2,"Consequently for a strong empirical paper I would expect much more baselines , including these proposed by Krueger et al .",3,,,,,,,,,,,,,,,
 ShitMyReviews,,The conclusion drawn by the authors seems self explanatory and does not require any validation through the presented work,4,,,,,,,,,,,,,,,
Publons,VMS3-2020-Sep-0438.R1,"hi  
 thanks for edition of article  
 best",5,https://publons.com/wos-op/review/10275085,,,,,,,,,,,,,,
ICLR,rywHCPkAW_R2,"Besides , the big table and the list of performances figures should themselves be put in two additional appendices and you should refer to them as Appendix D or E rather than "" the Appendix "" .",4,,,,,,,,,,,,,,,
Publons,ITEES-20-0021.R2,it is well revised,4,https://publons.com/wos-op/review/7687291,,,,,,,,,,,,,,
Publons,ITEES-19-1446.R1,My comments are addressed. Thanks.,5,https://publons.com/wos-op/review/7850376,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R3,"The second line of equation ( 20 ) does not make sense to me , it is not equivalent to the first line .",2,,,,,,,,,,,,,,,
ICLR,rydeCEhs-_R1,It is a shame that the authors chose to push their section on future work to the appendices .,1,,,,,,,,,,,,,,,
ICLR,B1DmUzWAW_R1,"In few shot classification , the sequence length can be known a prior .",3,,,,,,,,,,,,,,,
ICLR,B1CEaMbR-_R1,The claimed main contribution of the paper is the taxonomy .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"Overall, I think this manuscript is a waste of time.",1,,,,,,,,,,,,,,,
 ShitMyReviews,,I did not attempt to understand Figure 2 because there was no motivation given for it,2,,,,,,,,,,,,,,,
ICLR,B14TlG-RW_R1,3 . The paper can be significantly strengthened by adding at least one more reading comprehension dataset .,4,,,,,,,,,,,,,,,
 ShitMyReviews,,"This paper is baffling [...]Â In particular, I have not looked at all at section 2 of the paper",2,,,,,,,,,,,,,,,
ICLR,ryazCMbR-_R1,In this case the comments of the authors really show that they do not know anything about coding .,2,,,,,,,,,,,,,,,
ICLR,B1CQGfZ0b_R2,"Overall : Theres the start of an interesting idea here , but I dont think the quality is high enough to warrant publication at this time .",3,,,,,,,,,,,,,,,
ICLR,B13njo1R-_R3,I want to make sure the authors put a bit more effort into cleaning up the mess,2,,,,,,,,,,,,,,,
 ShitMyReviews,,Startlingly naive and jejeune. Obviously a poorly tailored master's thesis.,3,,,,,,,,,,,,,,,
 ShitMyReviews,,this is where the real problems start,3,,,,,,,,,,,,,,,
ICLR,B1J_rgWRW_R1,"The results might be of theoretical interest , but I doubt if a pragmatic Re LU network user will learn anything by reading this paper . """,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"Poorly connected and thinly reported anecdotes are reported as though they represent detailed and searching ethnography, and then jargon-riddled assertions are made as though the meagre data substantiate the claims.",2,,,,,,,,,,,,,,,
ICLR,ryserbZR-_R1,A 1D convolutional layer followed by a min max layer and 2 fully connected layer compose the network .,3,,,,,,,,,,,,,,,
ICLR,Hyp3i2xRb_R2,Also it only has been tested on very simple datasets .,3,,,,,,,,,,,,,,,
ICLR,HyrCWeWCb_R3,The paper largely follows the work of Nachum et al 2017 .,3,,,,,,,,,,,,,,,
ICLR,HymuJz-A-_R2,"Its not totally clear to me that if totally naive humans ( who had never seen spatial relationships before ) were evaluated on exactly the training/testing scenarios described above , that they would generalize particularly well either .",3,,,,,,,,,,,,,,,
ICLR,ryserbZR-_R1,Experiments are run on 2 public datasets achieving potentially top performance .,3,,,,,,,,,,,,,,,
 ShitMyReviews,,"There is essentially nothing unexpected, although the central observation of [..] is an unexpectedly large and important effect.",4,,,,,,,,,,,,,,,
 ShitMyReviews,,"Not now, not ever.",2,,,,,,,,,,,,,,,
ICLR,B16_iGWCW_R1,"Its not clear what kind of loss is really being optimised here, their time or mine .",1,,,,,,,,,,,,,,,
 ShitMyReviews,,This paper is too difficult for a journal on Astrophysical Fluid Dynamics,3,,,,,,,,,,,,,,,
ICLR,SySpa-Z0Z_R3,"Dropping the log determinant term , thus quality of the resulting regularizer , is not justified at all .",3,,,,,,,,,,,,,,,
ICLR,HypkN9yRW_R3,3.t The discussion on the tradeoff between tacking difficult problems and using the knowledge of program structure is engaging .,4,,,,,,,,,,,,,,,
ICLR,rkpoTaxA-_R3,"( although not a big deal with your acknowledgements ) """,2,,,,,,,,,,,,,,,
 ShitMyReviews,,"There is a lot of terminology flung around such as 'false negatives', 'false positive' and 'median', 'first quartile', 'third quartile'",2,,,,,,,,,,,,,,,
ICLR,SySpa-Z0Z_R2,"Even under the assumption that it is updated , and made more strict - what is a crucial problem is a claim , that after arriving at : tr [ K ( X , X ) ] - ln ( det [ K ( X , X ) ] ) dropping the log determinant is anyhow justified , to keep the reasoning/derivation of the whole method sound .",3,,,,,,,,,,,,,,,
ICLR,B18WgG-CZ_R2,"However , they use R1 as the basis to argue for rejection, personally, the authors themselves does not seem reasonable to me at all .",1,,,,,,,,,,,,,,,
ICLR,Hymt27b0Z_R3,A comparison with Info GAN and Dai et al . would be especially relevant to evaluate the effectiveness of OMIE .,4,,,,,,,,,,,,,,,
ICLR,SySisz-CW_R3,"The authors apply their newly defined measure to DCGANs and plain VAEs with Re LUs , and show that dependency between successive layers may lead to bad performance .",4,,,,,,,,,,,,,,,
